Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
Jan,2,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,93,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,7677.14,
Nov,2,Thursday,Honda,Urban,Friday,Jan,3,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,95,7,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1112.5,
Jan,3,Thursday,Toyota,Urban,Monday,Jan,4,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,98,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,9971.7,
Jan,4,Friday,Pontiac,Urban,Monday,Jan,5,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,100,10,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,82539.22,
Dec,3,Friday,Dodge,Urban,Saturday,Dec,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,106,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,21105.43,
Nov,4,Sunday,Pontiac,Urban,Thursday,Apr,2,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,108,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,76027.26,
Mar,1,Thursday,Honda,Urban,Friday,Mar,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,110,16,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,27439.45,
Nov,4,Thursday,Accura,Rural,Tuesday,Jan,2,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,114,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,62514.79,
Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,117,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,External,more than 5,no change,1 vehicle,1994,Collision,8338.47,
Oct,2,Wednesday,Honda,Rural,Monday,Oct,3,Female,Married,18,Third Party,Sport - Collision,Sport,more than 69000,122,12,400,4,more than 30,more than 30,none,2 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,87722.12,
Feb,2,Saturday,Pontiac,Urban,Monday,Feb,2,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,126,16,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,51358.81,
Jan,4,Sunday,Mazda,Urban,Tuesday,Jan,5,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,128,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,17588.65,
Oct,3,Friday,Ford,Urban,Friday,Oct,3,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,more than 69000,134,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,5896,
Apr,1,Tuesday,Honda,Urban,Friday,Apr,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,135,16,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,52644.88,
Mar,2,Sunday,Pontiac,Urban,Monday,Mar,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,136,6,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8283.52,
Oct,5,Friday,Toyota,Urban,Friday,Feb,1,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,140,9,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,2771.96,
Jul,3,Monday,Honda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,141,11,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,4269.44,
Feb,3,Wednesday,Toyota,Rural,Friday,Feb,4,Male,Single,25,Third Party,Sedan - Liability,Sport,20000 to 29000,145,1,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,76373.78,
Sep,3,Saturday,Mazda,Urban,Tuesday,Sep,3,Male,Single,33,Third Party,Sedan - Liability,Sport,30000 to 39000,147,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,2788.57,
Jun,1,Tuesday,Accura,Urban,Thursday,Jun,2,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,149,13,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,4194.39,
May,4,Monday,Mazda,Urban,Monday,May,4,Male,Widow,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,150,15,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1571.23,
Jan,3,Friday,Honda,Urban,Monday,Jan,3,Male,Married,65,Third Party,Sedan - All Perils,Sedan,20000 to 29000,167,8,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,2406.89,
Mar,1,Saturday,Mazda,Urban,Monday,Mar,3,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,172,7,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1369.71,
Feb,2,Monday,Toyota,Urban,Monday,Feb,2,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,174,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,1259.71,
Jan,1,Saturday,Chevrolet,Urban,Monday,Jan,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,189,14,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,3495.2,
Feb,4,Tuesday,Toyota,Urban,Wednesday,Feb,4,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,192,6,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,8596.33,
Dec,3,Tuesday,Chevrolet,Urban,Monday,Jan,2,Male,Married,26,Policy Holder,Utility - All Perils,Utility,more than 69000,193,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,15877.6,
Feb,1,Saturday,Honda,Urban,Monday,Oct,3,Male,Married,37,Third Party,Sedan - Collision,Sedan,30000 to 39000,197,14,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,89443.56,
Dec,4,Saturday,Pontiac,Urban,Monday,Jan,2,Male,Married,29,Third Party,Sedan - All Perils,Sedan,less than 20000,200,16,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,27988.33,
Dec,4,Monday,Mazda,Urban,Tuesday,Jan,1,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,202,2,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,53473.97,
Sep,5,Friday,Mazda,Urban,Monday,Oct,1,Male,Single,25,Policy Holder,Sedan - Collision,Sedan,more than 69000,208,5,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,902.85,
Jan,5,Tuesday,Mazda,Urban,Tuesday,Jan,5,Male,Married,69,Policy Holder,Sedan - Liability,Sport,20000 to 29000,218,3,700,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,62623.33,
Jan,5,Tuesday,Honda,Urban,Thursday,Feb,2,Male,Married,67,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,219,11,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,2955.21,
Oct,3,Tuesday,Saab,Urban,Wednesday,Oct,4,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,227,5,400,2,15 to 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,more than 8,1994,Collision,59882.82,
Oct,3,Tuesday,VW,Urban,Tuesday,Oct,5,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,228,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,2635.91,
Dec,4,Thursday,Pontiac,Rural,Wednesday,Jan,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,229,1,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,4466.74,
Jan,3,Monday,Pontiac,Urban,Saturday,Jan,4,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,239,7,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,77480.86,
Aug,3,Wednesday,Mazda,Urban,Wednesday,Jan,3,Female,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,243,12,400,3,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,82482.8,
Dec,5,Friday,Mazda,Urban,Tuesday,Jan,1,Male,Married,29,Third Party,Sport - Collision,Sport,more than 69000,255,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,7402.24,
Dec,5,Friday,Pontiac,Urban,Monday,Jan,1,Male,Single,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,256,9,500,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Liability,2839.47,
Dec,5,Saturday,VW,Urban,Wednesday,Jan,1,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,more than 69000,257,5,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,2559.76,
Dec,5,Saturday,Toyota,Urban,Tuesday,Jan,1,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,258,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,80038.06,
Aug,3,Thursday,Mazda,Urban,Thursday,Aug,3,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,259,16,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,5752.16,
Dec,4,Monday,VW,Urban,Monday,Jan,1,Male,Married,26,Third Party,Sedan - Collision,Sedan,more than 69000,266,5,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,2958.76,
Jan,2,Friday,Chevrolet,Urban,Wednesday,Jan,2,Female,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,271,2,400,3,more than 30,more than 30,2 to 4,3 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,2557.31,
Jan,2,Monday,Toyota,Rural,Monday,Jan,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,273,7,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,50923.05,
Dec,4,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,282,4,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,67608.93,
Dec,5,Tuesday,Honda,Urban,Tuesday,Jan,1,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,less than 20000,286,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,9181.41,
Jan,1,Monday,Mazda,Urban,Monday,Jan,1,Female,Single,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,287,1,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,4685.75,
Jan,1,Thursday,Chevrolet,Urban,Friday,Jan,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,290,1,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,2600.37,
Dec,5,Wednesday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,298,1,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8402.19,
Dec,5,Thursday,Pontiac,Urban,Monday,Jan,3,Male,Single,21,Third Party,Sedan - Collision,Sedan,20000 to 29000,301,7,400,3,more than 30,more than 30,2 to 4,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,6772.89,
Apr,1,Monday,Pontiac,Rural,Monday,Apr,1,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,308,5,400,4,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,2849.25,
Mar,2,Friday,Mercury,Urban,Friday,Mar,2,Female,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,313,13,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,74164.14,
Apr,1,Wednesday,Honda,Urban,Thursday,Apr,2,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,314,15,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,12001.54,
May,4,Thursday,Pontiac,Urban,Thursday,May,4,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,319,14,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,3973.81,
Apr,4,Sunday,Mazda,Urban,Monday,Apr,4,Female,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,320,2,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,57730.5,
Apr,2,Wednesday,Honda,Urban,Wednesday,Apr,4,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,324,8,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,50696.68,
Jun,2,Monday,Mazda,Urban,Tuesday,Jun,2,Female,Single,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,326,1,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,87927.16,
Nov,2,Friday,Honda,Rural,Tuesday,Nov,3,Female,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,327,7,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,2296.82,
Nov,1,Friday,Pontiac,Urban,Tuesday,Nov,2,Female,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,332,1,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1575.01,
Jun,4,Wednesday,Toyota,Urban,Thursday,Jun,4,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,333,8,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,93682.82,
Mar,5,Thursday,Honda,Urban,Thursday,Mar,5,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,335,9,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,8305.95,
Feb,4,Tuesday,Pontiac,Urban,Friday,Feb,4,Male,Married,47,Third Party,Sedan - Collision,Sedan,more than 69000,341,3,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,51031.45,
Aug,5,Tuesday,Ford,Rural,Thursday,Sep,1,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,347,10,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,57104.75,
Mar,3,Saturday,Honda,Urban,Thursday,Mar,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,349,6,400,2,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,3100.07,
Mar,1,Friday,Toyota,Rural,Sunday,Mar,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,less than 20000,358,14,500,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,2 vehicles,1994,All Perils,914.66,
Aug,1,Tuesday,VW,Urban,Wednesday,Aug,1,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,more than 69000,359,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,518.71,
Jun,3,Monday,Toyota,Urban,Wednesday,Jun,5,Female,Married,35,Third Party,Sedan - Liability,Sport,more than 69000,365,3,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,1994,Liability,4577.02,
May,4,Friday,Mazda,Urban,Friday,May,4,Male,Married,37,Third Party,Sedan - Liability,Sport,20000 to 29000,374,14,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,71613.06,
Mar,3,Saturday,Honda,Urban,Monday,Mar,3,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,more than 69000,375,10,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,13818.01,
Jul,2,Friday,Mazda,Urban,Monday,Jul,2,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,377,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,53867.35,
Jan,1,Tuesday,Honda,Urban,Wednesday,Jan,4,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,more than 69000,386,7,400,3,more than 30,more than 30,none,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1076.24,
Jun,5,Wednesday,Chevrolet,Urban,Saturday,Jul,1,Male,Married,53,Third Party,Sedan - Liability,Sport,60000 to 69000,391,8,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,72195.67,
May,1,Friday,Ford,Rural,Monday,May,2,Male,Single,29,Third Party,Sedan - Liability,Sport,20000 to 29000,392,11,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,1 to 2,no change,1 vehicle,1994,Liability,1242.26,
Jul,2,Thursday,Chevrolet,Urban,Friday,Jul,2,Male,Single,22,Third Party,Sedan - All Perils,Sedan,20000 to 29000,394,6,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,6187.31,
Aug,2,Tuesday,Pontiac,Urban,Friday,Aug,2,Male,Married,34,Third Party,Sedan - Liability,Sport,20000 to 29000,397,7,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,4655.15,
Mar,1,Friday,Mazda,Urban,Wednesday,Mar,2,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,400,5,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,1339.49,
Jul,1,Monday,Chevrolet,Urban,Thursday,Jul,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,more than 69000,407,4,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,1842.85,
Nov,2,Wednesday,Pontiac,Urban,Tuesday,Nov,3,Female,Married,29,Third Party,Sedan - Collision,Sedan,30000 to 39000,409,10,500,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision,51620.47,
Sep,2,Monday,Mazda,Urban,Wednesday,Sep,3,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,415,11,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,4487.6,
